maps,Blue Dragon,Kessoku Band,MFF1,bwaaa,Por Favor,food,Dear jump Give me a job plz,Citadel,Master Oogway,Jython,Lorem Ipsum,Operation Marvin,MAP_AVG
battlebot,,0.5,1.0,1.0,,,1.0,1.0,,1.0,,,0.9166666666666666
gaussian,0.0,,1.0,1.0,,1.0,,0.6666666666666666,,,,,0.7333333333333333
landscape,0.0,,0.5,0.3333333333333333,,,,,,,1.0,,0.4583333333333333
minimaze,0.0,1.0,0.3333333333333333,0.5,,,1.0,0.5,,,,,0.5555555555555556
default_small1,0.0,,1.0,,1.0,,1.0,,,1.0,,,0.8
the_great_divide,0.0,1.0,0.5,1.0,0.0,,,1.0,,,,,0.5833333333333334
default_medium1,0.0,0.0,1.0,0.0,,,1.0,,,,,,0.4
chemistry_class,0.5,1.0,0.5,0.0,,1.0,,,,1.0,,,0.6666666666666666
tiles,1.0,0.0,0.5,1.0,,,1.0,,,,,,0.7
galaxy,0.5,0.0,0.5,0.6666666666666666,,,1.0,,1.0,1.0,,,0.6666666666666666
default_medium2,0.0,,1.0,1.0,1.0,1.0,,0.6666666666666666,,1.0,,,0.8095238095238094
arena,,0.0,0.8,1.0,,,,,,,,,0.6
mandelbrot,,0.5,,0.0,,,1.0,,,,,1.0,0.625
wall,,1.0,0.6666666666666666,0.6666666666666666,,,1.0,,,,1.0,,0.8666666666666666
corridors,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0
we_love_tetris,,1.0,0.6666666666666666,0.0,,,,,,,,,0.5555555555555555
shish_kebab,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0
bar_chart,,1.0,1.0,1.0,1.0,,0.5,1.0,,,1.0,,0.9285714285714286
cinnamon_roll,,0.0,1.0,1.0,,1.0,1.0,,,,,,0.8
settlement,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0
tree_of_life,,0.0,1.0,1.0,1.0,,0.0,1.0,,1.0,,,0.7142857142857143
cold,,,1.0,1.0,1.0,0.0,,1.0,,,,,0.8
donut,,0.3333333333333333,1.0,1.0,,0.0,,,,1.0,1.0,1.0,0.7619047619047619
pls_buy_cucats_merch,0.0,0.5,0.0,1.0,1.0,,,,,,1.0,,0.5833333333333334
default_large1,0.0,,0.0,0.0,,1.0,,1.0,,1.0,,,0.5
vase,0.0,,0.6666666666666666,1.0,1.0,,0.5,1.0,1.0,1.0,,,0.7708333333333334
default_small2,0.0,0.0,1.0,1.0,1.0,,1.0,,,,1.0,,0.7142857142857143
first_sound,0.0,,1.0,1.0,,,,1.0,,,,,0.75
flowers,0.0,,1.0,1.0,1.0,,,,,1.0,,,0.8
labyrinth,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0
thread_of_connection,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,,1.0,,,0.8333333333333334
wasteland,1.0,,0.0,,1.0,,,1.0,,,1.0,,0.8
default_large2,0.8,,1.0,1.0,,1.0,1.0,,,,,,0.96
pixel_forest,0.5,1.0,0.3333333333333333,1.0,1.0,,,,,1.0,,,0.8055555555555555
hooks,,1.0,0.6666666666666666,1.0,,1.0,1.0,1.0,,,,,0.9444444444444445
starry_night,0.75,1.0,1.0,,1.0,1.0,0.5,,,,1.0,,0.8928571428571429
hourglass,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0
cubes,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0
wasteland_oasis,,0.5,0.5,1.0,0.0,,,,1.0,1.0,,,0.6666666666666666
bear_of_doom,1.0,,0.5,1.0,1.0,,1.0,,,,,,0.9
shrub,0.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,,,0.7142857142857143
socket,,,0.0,1.0,1.0,,1.0,1.0,,,,,0.8
metropolitan_dystopia,,1.0,,,,1.0,,1.0,,,,,1.0
strings,1.0,0.0,0.0,0.75,1.0,,,0.0,,1.0,,1.0,0.59375
face,0.0,,1.0,1.0,,0.5,,,,,,,0.625
castle_keep,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,0.8571428571428571
rush_bait,1.0,1.0,0.5,1.0,,,1.0,,,,,1.0,0.9166666666666666
clash_arena,0.5,,,1.0,0.5,1.0,1.0,,,,1.0,,0.8333333333333334
git_branches,,,0.6666666666666666,0.0,,,0.6666666666666666,1.0,,1.0,,,0.6666666666666666
dna,,0.5,1.0,0.75,,1.0,1.0,1.0,,1.0,,,0.8928571428571429
sierpinski_evil,1.0,,,1.0,0.0,,,1.0,,,1.0,,0.8
binary_tree,,0.5,0.5,1.0,,,1.0,1.0,,,,,0.8
butterfly,,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0
AVG_WIN%,0.43385416666666665,0.5980392156862745,0.7354166666666666,0.8156028368794325,0.8541666666666666,0.868421052631579,0.8924731182795699,0.9226190476190476,1.0,1.0,1.0,1.0,0.8433827309246585
